,State,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024
0,AK,1236.1353026268455,1233.8729962603022,1233.4344872803997,1230.0621184558927,1235.790847706228,1244.4319808202338,1243.5540869150016,1237.312765730016,1239.300980191133,1239.8918926274578,1239.7454008615737,1235.6503714026048,1233.528563962241,1237.4762217025293,1231.675658,1238.497443,1239.8085784168115,1227.2175110071846,1206.480290024142,1198.2127206958824,1204.6210612566738,1203.455039072971,1191.789768205514,1176.706215708687,1182.417887529269,1187.4604108395242,1206.8317775176556,1210.845396689635,1221.2849039480852,1220.5357271874811,1219.1340030559472,1211.8612054611026,1206.5865651165884,1201.3597457327412,1192.4980133564254,1191.0348997295027,1185.990461,1193.3174142553894,1200.5423273219133,1213.520292099159,1224.3564611726372,1230.8259762075131,1233.7197614981137,1229.2987675654051,1222.7060795689436,1217.2040980698164,1214.424339723517,1211.2122195509207,1208.0741741218162,1209.424409713568,1214.5613097063977,1226.0312894474666,1231.397260560804,1231.7660629306806,1234.664908606923,1235.9679874187111,1241.6381118918923,1233.4239633536656,1228.7692259252694,1221.2436711885596,1227.2425637207575,1228.1369844593114,1236.3171133700323,1234.6869093406465,1243.0092301466275,1243.3190277660897,1252.413755718259,1254.4386265322598,1261.6943363225014,1263.6435428944787,1269.897176324957,1263.927450277133,1260.5433373121311,1253.2549357861803,1257.8809218903066,1270.390835477765,1287.7536635653764,1314.0399116802382,1333.0033890033203,1357.0239490351382,1363.937070460924,1368.317023771763,1361.1469035374255,1350.6245039617186,1355.2977602818316,1363.7317712638132,1394.4891183132486,1417.7499541988332,1440.534632031876,1456.9698722002963,1480.807997029215,1492.238643976408,1493.1430863744656,1489.7999535595775,1490.369244228605,1494.8957139644674,1484.9480790945286,1500.2883075004645,1502.9278913473636,1525.841959209596,1539.9291251121397,1563.8863322242803,1570.050736178265,1575.4291070833422,1578.78715683803,1580.2810050482915,1575.280165942651,1568.2126366601342,1567.4910992060634,1565.681452724999,1578.2510307153163
1,AK,1089.35426116066,1110.190796219282,1124.638247106894,1138.2559671359338,1141.3045842798654,1154.1192501433584,1151.9612106208865,1163.9008101903669,1173.364343109419,1154.9287348503046,1174.8644456600066,1176.2695199519007,1176.7772755484878,1168.7577601777054,1158.6336575667783,1179.2419212031052,1147.068569973978,1143.6370244774075,1129.614171193892,1136.6901612895238,1150.8615114876432,1148.4038100503485,1163.1022684563409,1184.737239926278,1208.4032726952205,1204.7400303266445,1220.3407814792083,1229.188590425717,1242.3147239849372,1249.638007805518,1256.2222435692242,1272.3754249724943,1276.1881048697333,1279.8883559712558,1263.4404038328616,1252.4554723462604,1260.873417,1254.886827500496,1260.1507717774944,1270.199076118137,1281.8560390124096,1273.2480278926375,1278.437739963428,1299.9263692041168,1283.434299865119,1276.2293203625627,1264.8209491802395,1258.2071123469996,1245.9345484840055,1217.524428364118,1204.0926866052594,1166.091407638274,1152.2472104323365,1146.532209341233,1159.358559517381,1147.5041844727575,1173.1930188166266,1174.6315186680265,1196.5079186068135,1209.8037161373372,1215.2518321960797,1209.46872143648,1206.6010521477626,1212.8938326923123,1213.549027948808,1204.4277917337354,1215.829028633831,1216.7743489118095,1239.421260714064,1239.305038,1252.778960549135,1227.4624379262436,1224.539026534706,1256.4001717396643,1275.8274695690834,1302.9021774198386,1321.0579633818688,1340.6455675157554,1383.7564756140391,1389.205231235078,1418.1185477709855,1426.129984805402,1442.2319362519593,1452.6441432440856,1446.8943495048304,1466.486829315255,1474.7633473391008,1504.9061,1522.7958690649186,1535.8395911128464,1531.735293971831,1542.558033322348,1530.4573933172944,1508.756903982797,1485.6350990922056,1471.6161868485935,1433.479599106744,1476.168052,1478.0971681173212,1502.0983812789611,1495.4383448864985,1511.422106651485,1516.6122181138069,1528.7680447768273,1546.672474319148,1572.0403444147448,1567.7347303022718,1590.851634200352,1603.3657045195546,1591.929372873023,1596.888888888889
2,AK,1128.9563242051945,1129.1107869621967,1142.4197662424224,1154.4567794850243,1161.0840924767174,1173.1080047218393,1185.5866272147905,1210.0038556479933,1245.1555752587724,1234.672016535643,1241.8680293418918,1235.6503714026048,1242.5807637602925,1244.6052442733546,1259.6533153285543,1257.116703927159,1251.180911474949,1244.5193929230504,1246.6934445755849,1253.272183496711,1251.5289585100277,1266.4599415489297,1259.5698318282784,1270.970506413575,1297.7033032190552,1304.0379730417685,1315.653968248704,1331.6717507100673,1339.5517856294457,1367.890392212347,1379.2537963110094,1388.0153877895718,1381.120678191639,1414.3633685238717,1454.403848294829,1513.3346032069544,1524.8414499829923,1530.942682268932,1544.0685211492253,1541.9441979024407,1549.7467048424126,1544.222625115109,1557.0724502525188,1583.8128275328772,1564.6869222471637,1576.453543058812,1578.5654817832897,1549.5692561078022,1562.297447918085,1540.8024771848393,1549.6030821380325,1551.350764227164,1567.89157441904,1549.5750401960402,1554.514597120372,1553.7550972927636,1583.1028191889882,1549.6530216730523,1523.410253380785,1564.5913487305677,1512.938239708677,1561.0459488457834,1518.3627910915416,1472.7111474475355,1383.9156312530165,1385.176204468579,1370.8537676349586,1336.3031701908817,1336.4254782139813,1347.167067458735,1359.7510667866768,1380.730203187234,1370.7630227502598,1396.1207260649726,1403.6273648673698,1428.1193838753338,1420.3329732543325,1474.4731355158458,1485.5238614381913,1528.3881296122129,1517.018909,1527.2931818740867,1532.3233480005526,1513.2176590377687,1534.595117075593,1551.8970427646868,1548.2381022610614,1565.6870805937006,1589.2504412452736,1615.2011034496672,1622.6839725971988,1615.7824781267975,1642.216481622021,1614.5790902621304,1610.5837316562809,1595.3110380514404,1618.6825077019798,1694.9866465526725,1726.1631972267833,1773.0343439182443,1722.6404596916757,1694.0496348951058,1667.2772540322474,1678.8002452614485,1704.343381366409,1703.696340640123,1670.223102565858,1659.3378485294045,1682.7196424230503,1709.8703644411396,1760.1851851851852
3,AK,1851.745396030618,1793.1858098369785,1861.3880029844447,1824.2356454466224,1811.0392813074045,1812.9047674520148,1864.081473861858,1898.1560134135436,2006.979584018922,1945.3797501099057,1999.089109026783,1980.7496732228472,1975.81532212954,2020.9213668262853,2069.564286398096,2079.589421676047,2093.966829418595,2025.8664939032788,2049.9859886868844,2120.081166,2099.314154949559,2074.8167097173896,2070.767836,2082.6526617022078,2138.689162890817,2148.8925751883016,2198.0340864855148,2195.391648001276,2204.460156376959,2173.2711440145554,2150.9921721445858,2113.382211649178,2154.391365269592,2200.190327,2200.866535627258,2176.4684233945645,2261.435085603121,2233.695557,2257.7342341947106,2255.3240419904296,2333.56086762232,2213.0743836423217,2353.8151922121806,2278.9370111079897,2321.304833326998,2276.584133097724,2321.695671115813,2256.7468643175703,2259.571446009425,2263.713452,2271.489389,2278.8842839894496,2302.6676767558806,2312.5308176899302,2342.8111754654306,2347.396529091782,2329.8456139298114,2353.4618921621422,2396.461177499768,2387.279504,2320.098735739224,2412.9474836724653,2437.300220175439,2342.0358434457694,2303.621711826568,2356.4463505526114,2361.558598932472,2307.914427,2322.6473611911265,2163.724049039836,2113.1601213326235,2003.8140688731244,2030.9259878728085,1994.889759918489,1988.6962656351925,1897.1381544268709,1893.460017726086,1911.5828686507075,1874.018790146818,1862.1368622725508,1873.9174202118763,1833.4361282475963,1790.2478875626668,1751.6844383368962,1747.7586425326367,1736.7658394077275,1753.669819751566,1771.925755179296,1790.8000289196823,1774.5588526938277,1733.6497357068265,1727.8122469354214,1750.353365070827,1724.270351178278,1690.2744866222854,1619.9777006706302,1613.2543910187585,1551.3706223272195,1454.6823929094526,1398.0773442883417,1375.4400584169257,1384.590493099476,1391.008964671419,1379.6144850617866,1389.7039913127494,1370.3404859702491,1385.126897973979,1383.5777276202475,1418.932994628016,1449.5354040347324,1502.5
4,AL,891.3617627188329,895.5962942002656,902.9081185171796,907.589283558886,904.7894812277098,904.185236847556,905.493717712052,907.8520316137224,909.8273214270264,909.7883308916385,910.7117199971382,914.8442988479984,919.0098725648992,925.4578374385576,923.2170551672116,927.2313297838004,925.8794691181206,928.53509544642,926.0987931180056,928.804343086324,923.9039774765156,921.3829514439956,913.9356655398308,924.1915472624626,925.829019485176,935.1060289,936.0812777435668,942.9824686396616,947.7136831482452,948.0369436561452,950.5036646021808,950.0374223055863,957.51446504276,955.7921699194802,959.0625458,954.7443640511234,955.8758922,955.7343740415812,962.8040057207046,973.3612266146112,984.5463741280556,988.5111617277792,988.6068412508372,987.4140571117838,987.3518313697748,994.3112588884918,996.4773025838036,1003.1613610339916,999.4778469540144,1006.0437417026916,1005.081370606322,1013.109387941114,1018.3956281965034,1026.3150738003014,1027.3747941278446,1029.0403526210148,1034.0076834897138,1034.9249477230137,1034.7421394564938,1031.3830034628215,1033.7109779881205,1034.3530606371196,1047.0821982812008,1053.7385340732808,1055.9396299831851,1049.3556521869236,1057.8704921701988,1066.1728286113505,1072.2917758416572,1073.5680669320227,1078.484359491049,1085.795237619138,1090.1874163493894,1090.875813407767,1091.9049561637398,1099.0694218753388,1117.015447337489,1135.3202538376302,1155.5708656366328,1169.4115295731392,1176.4051250909872,1176.906436727765,1182.3148171584833,1195.694849597738,1207.0653927094545,1213.8775723860838,1220.1155876788052,1228.9882438386603,1239.7027634120284,1251.241341992772,1260.705985654901,1267.288653327768,1266.3480609279857,1261.3455627369683,1264.021829264615,1261.274091319635,1263.6634826070865,1267.0481535810195,1281.8036400850935,1297.7320658288868,1304.323342227744,1306.279211738879,1313.9283290144444,1324.447364265122,1328.0646105316048,1324.838754047207,1325.4537170403275,1324.5626275763036,1326.3360757255284,1331.028944344673,1337.697825758067
5,AL,777.0947183038883,779.0923136978984,777.8777108131446,777.7656128394074,782.2051898,786.4210024592948,787.3437368196472,792.0593065174085,791.5443088029263,789.6437632474183,785.5880399106082,790.7715966049013,797.2067663405369,801.2245723541164,797.5775316543106,800.1354149701549,805.6429498720014,810.7153582686086,813.1817634357794,819.6868429,823.3075220103038,824.6681022473546,823.4034149407162,823.9051489636175,824.1276223946184,824.1982074458099,827.2368575583226,833.8477255946809,834.5041792260107,833.223855,830.8681894993216,831.0262999,833.8984435604937,834.3467127038972,834.2360406768227,836.9009362692375,845.7700223204034,852.8679111717433,851.5807650107827,850.3643400912825,853.0018867,860.1499789152566,858.0758675815646,854.6257361829364,853.7304737764924,853.2664101,862.3792852233677,870.0510862550474,880.2861709013209,881.2379642622262,881.3351651154824,885.2597615816065,890.5298738300548,894.9217171966943,900.3942254141663,900.4562426236135,897.1226326599174,893.3104457,893.1467423029472,902.0759243796938,904.5628853272584,904.0937479482892,903.7810216,907.1471156511548,911.6186607595524,912.9756393,921.6665609650156,928.9572069651362,931.5695767200878,926.5639854643966,933.7225773177452,938.7918542696514,947.6032420733088,954.0345891,971.9292952,995.6086998032916,1013.8496184951028,1034.3394600065906,1049.817119989945,1078.776897557235,1093.7791427485672,1103.3345229748168,1085.2844477518072,1079.1746207832448,1081.7504641900457,1088.2392576128202,1101.5530324373194,1111.055427155647,1130.7977557670313,1138.5973776244657,1154.7582036230283,1172.178708,1189.0017465081896,1191.47561003612,1188.920526784938,1180.6255565699669,1183.0048782467704,1193.1724917775457,1206.916898411736,1223.1486251684344,1235.8595683021788,1254.5066262821013,1252.967310825433,1269.079299699349,1280.0362610233385,1300.8558615851605,1300.3563113044963,1291.8716183586623,1289.183047735608,1282.186397922155,1291.6792197220768
6,AL,812.2640865996071,813.9231581425202,821.4720047619819,824.9401473737705,826.4170786872886,823.8958351495968,823.7907818132431,822.0958578058469,825.1670722112033,829.7993087901315,830.7057898139022,829.727476,829.9015023487642,832.9724475702578,837.0814331458937,835.2690733288931,839.9633767,844.0939060204988,851.9851361464592,850.5991381352638,851.0408627527602,849.4353834549784,851.4642024,853.8779391338442,855.9613450289565,860.5380100230874,861.2908410798128,863.8354078704647,869.6515583125547,873.1718737,880.5958087,878.3607108285034,878.6631644397391,875.0510332616542,878.4606556965247,879.3919190301295,885.8344307848894,895.7740913076323,904.4880081849234,909.2337856677616,913.1895922260796,920.2870755215484,926.6535378,929.8860153799864,937.0540928689732,938.1521906407544,944.0105187825758,946.6691008094704,951.9840858929076,957.0251791122693,962.8837863640404,974.1827539766696,984.2337265562768,994.232021798238,990.4452980579556,1000.6310870660463,1010.910208185844,1028.3412233334316,1026.7793784713615,1028.4727758565164,1040.7253701638306,1053.0701298857282,1066.3315179466315,1069.5734284541052,1083.747324841073,1093.5736877859383,1116.7085351233484,1135.1266621595137,1152.910796196364,1157.5261325486988,1157.8253555260037,1162.236690573948,1176.086878219396,1196.510924189124,1212.3498338067095,1234.5032448408151,1252.1156352086832,1279.9628869234018,1300.6305620781743,1319.4849150444504,1332.2808931721513,1340.1661623181526,1342.371077203545,1347.137208434922,1354.9897702405924,1362.969188829749,1373.4091380559585,1385.2256474580538,1406.3424283265265,1419.7397955916954,1426.2784377927458,1432.0177018152192,1420.3740971948532,1421.1221700298358,1417.6626630108174,1427.0020626475916,1432.6521245070314,1433.2682773368567,1443.8833355475408,1459.3213012357126,1464.034774540414,1467.8894577539702,1463.7015515536846,1470.9917540989743,1474.0752595659212,1482.7831912770375,1485.718048732951,1486.242190277046,1473.4706949504532,1454.7682469354772,1456.5225949793542
7,AL,844.1775165450033,851.6188490680809,847.7535433153596,853.5960891515543,846.5143668,847.6602040506087,847.2529551791362,852.9037986911825,849.2067223822128,847.5070326813743,849.3314045989587,846.8707678487791,843.4624392399329,846.5221914976977,850.9660507520839,859.7361415933118,862.5904039818124,870.7169173514764,857.5431064599701,848.6473834683492,844.3775840885833,848.5271784939414,857.1257519618497,847.0790938081793,857.1527207214239,855.1393422,867.0793698155796,865.6164317868019,869.9016927548556,868.2795591801387,868.1581445513269,867.9907556937613,868.8152377213795,874.0816395,875.5682924686412,872.8686489454005,871.4817322403566,870.8118824114765,877.8613103152379,875.6353345,880.1036704829165,885.5917820988191,891.5277325585309,887.1811939,883.2808391352639,881.8538588131406,884.3541905392766,883.0665300324147,881.9765785171088,882.2841554881791,886.3915014,894.3799773653242,900.3185848582377,904.7597315340572,903.4680517649005,906.5533544901624,902.1201934971024,905.0328265254386,901.6101498003436,913.8614026314536,917.7672184507732,924.083538639414,920.7169352,919.4499674380904,921.3189662294736,924.6413069291568,929.0794442063738,936.1907955313862,941.2050743391673,946.5436787756238,951.4048198841472,961.1749183431754,963.5251095588968,967.8845617141022,972.2995984130235,982.7309809,1001.2752612000412,1012.4485608975222,1033.8989087816008,1046.172788380114,1056.5660022396462,1065.072411147277,1070.6027226831725,1086.6386678022018,1096.7341982504397,1102.6015545402338,1109.3337615787304,1118.6123083483767,1131.970373167746,1137.8470193060382,1138.3581549086464,1138.1586592592562,1139.31238462049,1140.9719096801543,1143.0485560725313,1143.0910611600789,1143.6854038158529,1145.5002869605028,1158.555959757435,1173.021239365801,1178.174609355886,1175.763073810828,1172.2981280535628,1180.44399963382,1183.2136635835857,1192.4702369904012,1192.716959768492,1198.6583223577247,1210.5224103329035,1221.7012911771556,1233.1613639711295
8,AL,1020.7619750807706,1017.6055068315472,1013.6770838228516,1032.0273437579865,1045.7982087558992,1063.0565535340174,1058.413953238274,1064.0266392608537,1062.9057708041885,1056.6134730154367,1050.5085316227894,1036.6859943973768,1046.1380827062185,1050.3822388000017,1064.9342401866595,1066.7938945159403,1072.4087549249678,1081.146179985222,1089.3183473328977,1095.1489506544813,1096.7472494701544,1097.2938605032864,1080.6882280329526,1071.2580761407935,1068.0720254462965,1085.8993758511954,1094.8047297443304,1104.8959274366866,1108.9277112707734,1120.131378902413,1127.399284617433,1133.5717055795628,1131.5988426640238,1120.069622149822,1105.0500785432896,1100.068833019392,1105.3939529792167,1109.332168,1114.0371912555977,1117.937224,1134.8626435011597,1139.843184400116,1145.702695329789,1143.6525748788747,1146.909731122662,1149.1502393235974,1153.60941781134,1146.722291269833,1155.924581381174,1153.9141749327937,1166.9153688780416,1170.5223483032553,1182.7535740177482,1193.1285584474526,1193.1024684885851,1190.7217907465083,1188.186529300707,1186.230925168867,1190.8695467796351,1189.221601823513,1193.385960199633,1194.5105822292096,1197.5576758465263,1207.127879052005,1218.0204372873327,1224.1151105817664,1221.6532903646314,1223.2000137385066,1228.5066209943152,1242.084357773272,1252.778960549135,1267.0187222435477,1273.6666008280863,1283.222347109803,1296.8062651376088,1331.5267440210637,1357.6720910767017,1405.2572915103028,1432.923578,1519.609108,1550.462004313299,1541.7313363595388,1531.385123890796,1535.2989178277612,1530.824695206672,1537.965871639832,1522.0016994742623,1530.6347010379957,1543.8682909292609,1561.018149249731,1590.6012239329723,1606.336088739144,1598.0244331494102,1578.3627912867012,1581.7862553200478,1599.280815935466,1603.8811360700947,1600.9605922521123,1607.0039847206356,1611.7558523015266,1620.5955902502044,1623.4010158185051,1622.630187395482,1612.2615894906105,1612.2323604345752,1613.277693710839,1593.8270904345102,1584.3451355193404,1589.0054911332372,1603.029247974417,1607.620401002506
9,AL,1183.996241936316,1194.2454980787386,1203.5824172013145,1205.4365377837098,1233.465451988105,1235.228738548136,1245.9620890587216,1221.5614823685355,1211.1667541886638,1235.670096138326,1235.8174106140514,1235.1318323437438,1235.1453387397094,1233.271369054925,1225.4147975974563,1222.541860933031,1226.9800035875971,1231.1711119057798,1236.3674317230295,1190.1649131713093,1106.675027656833,1126.7800217891654,1115.6988654374386,1127.0658036389902,1137.2471280967443,1139.6259593526934,1140.5118407036812,1140.9357609150777,1144.405008529672,1130.790929890673,1151.960510800642,1163.716247,1172.262955550255,1151.8829869629722,1146.9018857608903,1154.0511876715982,1148.532481513052,1145.3645306674082,1139.5656796284406,1152.2938447504414,1163.111229850984,1176.882465828301,1165.2295798854118,1165.0185487577007,1164.1708547527835,1182.395274,1185.462202118602,1170.3961686736654,1164.732537,1161.7203654793034,1172.8066026077572,1177.611835096431,1194.3024023856678,1208.6829696932762,1203.7338130407325,1209.663813262435,1205.3104513964674,1223.915708413414,1220.0722709663205,1214.7513446840444,1213.6227677675306,1206.9163347576064,1214.178126606667,1217.0554046851184,1221.799916214779,1232.6643051753022,1228.386660351884,1226.3908916346722,1232.4736144021767,1245.114151304501,1263.7656347553525,1265.8037058859695,1264.580140134147,1255.4926098800606,1255.4723663383445,1258.8377409411887,1261.1717591211925,1281.3666459711044,1289.2852670170791,1311.970205922147,1312.1129143237165,1331.9370360635305,1348.4862710508107,1350.4338499237615,1354.713207487221,1348.5239026078457,1382.2106702476838,1393.6111680545937,1412.9369078685556,1401.3296172221724,1408.7094210900743,1422.4733697318134,1440.030562412363,1446.213589807211,1446.6975440182202,1443.7584733688627,1449.7300309190057,1470.002165151575,1483.612130570201,1492.972812340519,1494.3044819765073,1498.181519925149,1500.39858293898,1521.943073842227,1539.7604323286098,1571.6195931694133,1565.030443420405,1561.632558689899,1546.8387594727335,1543.1890695018164,1550.2967032967033
